source_database,pmid,title,abstract,journal,year,publication_types,authors,doi,mesh_terms,url,source_databases_found,openalex_id,concepts,type,cited_by_count,dedupe_key,duplicate_group
OpenAlex,,Society for Maternal-Fetal Medicine Position Statement: Extending Medicaid coverage for 12 months postpartum,,American Journal of Obstetrics and Gynecology,2024,,Jordan S. Stone; Suchitra Chandrasekaran,https://doi.org/10.1016/j.ajog.2024.04.008,,https://openalex.org/W4394015468,,https://openalex.org/W4394015468,Medicine; Position statement; Maternal-fetal medicine; Medicaid; Position (finance); Obstetrics; Statement (logic); Fetus; Family medicine; Pregnancy; Obstetrics and gynaecology; Law; Health care; Political science; Genetics; Economics; Biology; Finance,article,5,doi:10 1016 j ajog 2024 04 008,61
PubMed,35132151,Medicaid and moms: the potential impact of extending medicaid coverage to mothers for 1 year after delivery.,"The American Rescue Plan provides a pathway for states to expand postpartum Medicaid coverage for low-income mothers through 12 months after delivery. Data suggests that extension of post-partum Medicaid coverage should improve access to outpatient health care services, increase healthcare utilization, improve chronic disease management for at-risk mothers, and reduce disparities in care for racial/ethnic groups over-represented in Medicaid. Opportunities to provide increased preventive care for perinatal mood disorders and smoking cessation also exist. Further, this policy may reduce the burden of late maternal mortality. While improved access to contraceptive service postpartum provides a potential mechanism by which birth outcomes may improve, the effect of this policy on NICU admission, low birth weight (LBW) infants, and preterm birth is unknown. We discuss possible birth, infant and maternal health outcomes which may result from this expansion, drawing on data from the 2010 Medicaid Expansion via the Affordable Care Act.",Journal of perinatology : official journal of the California Perinatal Association,2022,Journal Article; Review,Shetal Shah; Hayley Friedman,10.1038/s41372-021-01299-w,"Female; Health Services Accessibility; Humans; Infant; Infant, Newborn; Insurance Coverage; Medicaid; Mothers; Patient Protection and Affordable Care Act; Pregnancy; Premature Birth; United States",https://pubmed.ncbi.nlm.nih.gov/35132151/,,,,,,doi:10 1038 s41372 021 01299 w,67
OpenAlex,,Medicaid and moms: the potential impact of extending medicaid coverage to mothers for 1 year after delivery,,Journal of Perinatology,2022,,Shetal Shah; Hayley Friedman,https://doi.org/10.1038/s41372-021-01299-w,,https://openalex.org/W4210552272,,https://openalex.org/W4210552272,Medicaid; Medicine; Ethnic group; Prenatal care; Low birth weight; Pregnancy; Family medicine; Health care; Environmental health; Population; Biology; Genetics; Economics; Economic growth; Anthropology; Sociology,review,23,doi:10 1038 s41372 021 01299 w,67
PubMed,33647969,Extending Postpartum Medicaid: State and Federal Policy Options during and after COVID-19.,"The United States is facing a maternal health crisis with rising rates of maternal mortality and morbidity and stark disparities in maternal outcomes by race and socioeconomic status. Among the efforts to address this issue, one policy proposal is gaining particular traction: extending the period of Medicaid eligibility for pregnant women beyond 60 days after childbirth. The authors examine the legislative and regulatory pathways most readily available for extending postpartum Medicaid, including their relative political, economic, and public health trade-offs. They also review the state and federal policy activity to date and discuss the impact of the COVID-19 pandemic on the prospects for policy change.","Journal of health politics, policy and law",2021,Journal Article,Jamie R Daw; Emily Eckert; Heidi L Allen; Kristen Underhill,10.1215/03616878-8893585,COVID-19; Female; Humans; Insurance Coverage; Maternal Health; Medicaid; Policy; Postpartum Period; Pregnancy; United States,https://pubmed.ncbi.nlm.nih.gov/33647969/,,,,,,doi:10 1215 03616878 8893585,68
OpenAlex,,Extending Postpartum Medicaid: State and Federal Policy Options during and after COVID-19,"Abstract The United States is facing a maternal health crisis with rising rates of maternal mortality and morbidity and stark disparities in maternal outcomes by race and socioeconomic status. Among the efforts to address this issue, one policy proposal is gaining particular traction: extending the period of Medicaid eligibility for pregnant women beyond 60 days after childbirth. The authors examine the legislative and regulatory pathways most readily available for extending postpartum Medicaid, including their relative political, economic, and public health trade-offs. They also review the state and federal policy activity to date and discuss the impact of the COVID-19 pandemic on the prospects for policy change.",Journal of Health Politics Policy and Law,2021,,Jamie R. Daw; Emily Eckert; Heidi Allen; Kristen Underhill,https://doi.org/10.1215/03616878-8893585,,https://openalex.org/W3133531556,,https://openalex.org/W3133531556,Medicaid; Childbirth; Legislature; Socioeconomic status; Coronavirus disease 2019 (COVID-19); Pandemic; State (computer science); Politics; Postpartum period; Political science; Health policy; Public policy; Legislation; State policy; Economic growth; Pregnancy; Environmental health; Health care; Medicine; Economics; Population; Law; Algorithm; Infectious disease (medical specialty); Disease; Genetics; Biology; Pathology; Computer science,article,19,doi:10 1215 03616878 8893585,68
PubMed,38457131,"Continuous Medicaid Eligibility During the COVID-19 Pandemic and Postpartum Coverage, Health Care, and Outcomes.","Pursuant to the Families First Coronavirus Response Act (FFCRA), continuous Medicaid eligibility during the COVID-19 public health emergency (PHE) created a de facto national extension of pregnancy Medicaid eligibility beyond 60 days postpartum.; To evaluate the association of continuous Medicaid eligibility with postpartum health insurance, health care use, breastfeeding, and depressive symptoms.; This cohort study using a generalized difference-in-differences design included 21 states with continuous prepolicy (2017-2019) and postpolicy (2020-2021) participation in the Pregnancy Risk Assessment Monitoring System (PRAMS).; State-level change in Medicaid income eligibility after 60 days postpartum associated with the FFCRA measured as a percent of the federal poverty level (FPL; ie, the difference in 2020 income eligibility thresholds for pregnant people and low-income adults/parents).; Health insurance, postpartum visit attendance, contraceptive use (any effective method; long-acting reversible contraceptives), any breastfeeding and depressive symptoms at the time of the PRAMS survey (mean [SD], 4 [1.3] months postpartum).; The sample included 47 716 PRAMS respondents (64.4% aged <30 years; 18.9% Hispanic, 26.2% non-Hispanic Black, 36.3% non-Hispanic White, and 18.6% other race or ethnicity) with a Medicaid-paid birth. Based on adjusted estimates, a 100% FPL increase in postpartum Medicaid eligibility was associated with a 5.1 percentage point (pp) increase in reported postpartum Medicaid enrollment, no change in commercial coverage, and a 6.6 pp decline in uninsurance. This represents a 40% reduction in postpartum uninsurance after a Medicaid-paid birth compared with the prepolicy baseline of 16.7%. In subgroup analyses by race and ethnicity, uninsurance reductions were observed only among White and Black non-Hispanic individuals; Hispanic individuals had no change. No policy-associated changes were observed in other outcomes.; In this cohort study, continuous Medicaid eligibility during the COVID-19 PHE was associated with significantly reduced postpartum uninsurance for people with Medicaid-paid births, but was not associated with postpartum visit attendance, contraception use, breastfeeding, or depressive symptoms at approximately 4 months postpartum. These findings, though limited to the context of the COVID-19 PHE, may offer preliminary insight regarding the potential impact of post-pandemic postpartum Medicaid eligibility extensions. Collection of longer-term and more comprehensive follow-up data on postpartum health care and health will be critical to evaluating the effect of ongoing postpartum policy interventions.",JAMA health forum,2024,Journal Article,Jamie R Daw; Colleen L MacCallum-Bridges; Katy B Kozhimannil; Lindsay K Admon,10.1001/jamahealthforum.2024.0004,Adult; Pregnancy; Female; United States; Humans; Medicaid; Pandemics; Cohort Studies; COVID-19; Postpartum Period; Health Services Accessibility; Contraceptive Agents,https://pubmed.ncbi.nlm.nih.gov/38457131/,,,,,,doi:10 1001 jamahealthforum 2024 0004,79
OpenAlex,,"Continuous Medicaid Eligibility During the COVID-19 Pandemic and Postpartum Coverage, Health Care, and Outcomes","Importance: Pursuant to the Families First Coronavirus Response Act (FFCRA), continuous Medicaid eligibility during the COVID-19 public health emergency (PHE) created a de facto national extension of pregnancy Medicaid eligibility beyond 60 days postpartum. Objective: To evaluate the association of continuous Medicaid eligibility with postpartum health insurance, health care use, breastfeeding, and depressive symptoms. Design, Setting, and Participants: This cohort study using a generalized difference-in-differences design included 21 states with continuous prepolicy (2017-2019) and postpolicy (2020-2021) participation in the Pregnancy Risk Assessment Monitoring System (PRAMS). Exposures: State-level change in Medicaid income eligibility after 60 days postpartum associated with the FFCRA measured as a percent of the federal poverty level (FPL; ie, the difference in 2020 income eligibility thresholds for pregnant people and low-income adults/parents). Main Outcomes and Measures: Health insurance, postpartum visit attendance, contraceptive use (any effective method; long-acting reversible contraceptives), any breastfeeding and depressive symptoms at the time of the PRAMS survey (mean [SD], 4 [1.3] months postpartum). Results: The sample included 47 716 PRAMS respondents (64.4% aged <30 years; 18.9% Hispanic, 26.2% non-Hispanic Black, 36.3% non-Hispanic White, and 18.6% other race or ethnicity) with a Medicaid-paid birth. Based on adjusted estimates, a 100% FPL increase in postpartum Medicaid eligibility was associated with a 5.1 percentage point (pp) increase in reported postpartum Medicaid enrollment, no change in commercial coverage, and a 6.6 pp decline in uninsurance. This represents a 40% reduction in postpartum uninsurance after a Medicaid-paid birth compared with the prepolicy baseline of 16.7%. In subgroup analyses by race and ethnicity, uninsurance reductions were observed only among White and Black non-Hispanic individuals; Hispanic individuals had no change. No policy-associated changes were observed in other outcomes. Conclusions and Relevance: In this cohort study, continuous Medicaid eligibility during the COVID-19 PHE was associated with significantly reduced postpartum uninsurance for people with Medicaid-paid births, but was not associated with postpartum visit attendance, contraception use, breastfeeding, or depressive symptoms at approximately 4 months postpartum. These findings, though limited to the context of the COVID-19 PHE, may offer preliminary insight regarding the potential impact of post-pandemic postpartum Medicaid eligibility extensions. Collection of longer-term and more comprehensive follow-up data on postpartum health care and health will be critical to evaluating the effect of ongoing postpartum policy interventions.",JAMA Health Forum,2024,,Jamie R. Daw; Colleen L. MacCallum‐Bridges; Katy B. Kozhimannil; Lindsay K. Admon,https://doi.org/10.1001/jamahealthforum.2024.0004,,https://openalex.org/W4392583995,,https://openalex.org/W4392583995,Medicaid; Medicine; Breastfeeding; Pregnancy; Demography; Attendance; Postpartum period; Health care; Family medicine; Pediatrics; Economics; Biology; Genetics; Economic growth; Sociology,article,22,doi:10 1001 jamahealthforum 2024 0004,79
PubMed,34982621,"The ACA Medicaid Expansion And Perinatal Insurance, Health Care Use, And Health Outcomes: A Systematic Review.","The Affordable Care Act (ACA) Medicaid expansion increased Medicaid eligibility for low-income adults regardless of their pregnancy or parental status. Variation in states' adoption of this expansion created a natural experiment to study the effects of expanding public insurance on insurance coverage, health care use, and health outcomes during preconception, pregnancy, and postpartum. We conducted a systematic review of relevant literature on this topic, analyzing twenty-four studies published between January 2014 and April 2021. We found that the ACA Medicaid expansion increased preconception and postpartum Medicaid coverage with corresponding declines in uninsurance, private insurance coverage, and insurance churn. There was limited evidence that Medicaid expansion increased perinatal health care use or improved infant birth outcomes overall, although some studies reported reduced racial and ethnic disparities in rates of prenatal and postpartum visit attendance, maternal mortality, low birthweight, and preterm births. Stronger data collection on preconception and postpartum outcomes with sufficient sample sizes to stratify by race and ethnicity is needed to assess the full impact of the ACA and emerging Medicaid policy changes, such as the postpartum Medicaid extension.",Health affairs (Project Hope),2022,Journal Article; Systematic Review,Meghan Bellerose; Lauren Collin; Jamie R Daw,10.1377/hlthaff.2021.01150,"Adult; Female; Health Services Accessibility; Humans; Infant, Newborn; Insurance Coverage; Insurance, Health; Medicaid; Medically Uninsured; Patient Protection and Affordable Care Act; Pregnancy; United States",https://pubmed.ncbi.nlm.nih.gov/34982621/,,,,,,doi:10 1377 hlthaff 2021 01150,80
OpenAlex,,"The ACA Medicaid Expansion And Perinatal Insurance, Health Care Use, And Health Outcomes: A Systematic Review","The Affordable Care Act (ACA) Medicaid expansion increased Medicaid eligibility for low-income adults regardless of their pregnancy or parental status. Variation in states' adoption of this expansion created a natural experiment to study the effects of expanding public insurance on insurance coverage, health care use, and health outcomes during preconception, pregnancy, and postpartum. We conducted a systematic review of relevant literature on this topic, analyzing twenty-four studies published between January 2014 and April 2021. We found that the ACA Medicaid expansion increased preconception and postpartum Medicaid coverage with corresponding declines in uninsurance, private insurance coverage, and insurance churn. There was limited evidence that Medicaid expansion increased perinatal health care use or improved infant birth outcomes overall, although some studies reported reduced racial and ethnic disparities in rates of prenatal and postpartum visit attendance, maternal mortality, low birthweight, and preterm births. Stronger data collection on preconception and postpartum outcomes with sufficient sample sizes to stratify by race and ethnicity is needed to assess the full impact of the ACA and emerging Medicaid policy changes, such as the postpartum Medicaid extension.",Health Affairs,2022,,Meghan Bellerose; Lauren Collin; Jamie R. Daw,https://doi.org/10.1377/hlthaff.2021.01150,,https://openalex.org/W4205706002,,https://openalex.org/W4205706002,Medicaid; Medicine; Attendance; Ethnic group; Prenatal care; Health care; Family medicine; Health insurance; Pregnancy; Environmental health; Demography; Population; Sociology; Economics; Biology; Anthropology; Genetics; Economic growth,review,80,doi:10 1377 hlthaff 2021 01150,80
PubMed,34606358,Medicaid Expansion Associated With Some Improvements In Perinatal Mental Health.,"Poor perinatal mental health is a common pregnancy-related morbidity with potentially serious impacts that extend beyond the individual to their family. A possible contributing factor to poor perinatal mental health is discontinuity in health insurance coverage, which is particularly important among low-income people. We examined impacts of Medicaid expansion on prepregnancy depression screening and self-reported depression and postpartum depressive symptoms and well-being among low-income people giving birth. Medicaid expansion was associated with a 16 percent decline in self-reported prepregnancy depression but was not associated with postpartum depressive symptoms or well-being. Associations between Medicaid expansion and prepregnancy mental health measures increased with time since expansion. Expanding health insurance coverage to low-income people before pregnancy may improve perinatal mental health.",Health affairs (Project Hope),2021,"Journal Article; Research Support, N.I.H., Extramural",Claire E Margerison; Katlyn Hettinger; Robert Kaestner; Sidra Goldman-Mellor; Danielle Gartner,10.1377/hlthaff.2021.00776,Female; Health Services Accessibility; Humans; Insurance Coverage; Medicaid; Mental Health; Patient Protection and Affordable Care Act; Pregnancy; United States,https://pubmed.ncbi.nlm.nih.gov/34606358/,,,,,,doi:10 1377 hlthaff 2021 00776,98
OpenAlex,,Medicaid Expansion Associated With Some Improvements In Perinatal Mental Health,"Poor perinatal mental health is a common pregnancy-related morbidity with potentially serious impacts that extend beyond the individual to their family. A possible contributing factor to poor perinatal mental health is discontinuity in health insurance coverage, which is particularly important among low-income people. We examined impacts of Medicaid expansion on prepregnancy depression screening and self-reported depression and postpartum depressive symptoms and well-being among low-income people giving birth. Medicaid expansion was associated with a 16 percent decline in self-reported prepregnancy depression but was not associated with postpartum depressive symptoms or well-being. Associations between Medicaid expansion and prepregnancy mental health measures increased with time since expansion. Expanding health insurance coverage to low-income people before pregnancy may improve perinatal mental health.",Health Affairs,2021,,Claire E. Margerison; Katlyn Hettinger; Robert Kaestner; Sidra Goldman‐Mellor; Danielle R. Gartner,https://doi.org/10.1377/hlthaff.2021.00776,,https://openalex.org/W3201674124,,https://openalex.org/W3201674124,Medicaid; Mental health; Depression (economics); Medicine; Pregnancy; Psychiatry; Postpartum depression; Postpartum period; Environmental health; Health care; Economics; Economic growth; Macroeconomics; Genetics; Biology,article,28,doi:10 1377 hlthaff 2021 00776,98
PubMed,36274968,Disparities in postpartum contraceptive use among immigrant women with restricted Medicaid benefits.,"The Emergency Medicaid program offers restricted Medicaid benefits for people who meet the same financial eligibility criteria as Traditional Medicaid recipients but do not meet the citizenship requirements for enrollment in Traditional Medicaid. By federal law, Emergency Medicaid covers care for life-threatening emergencies or a hospital admission for childbirth. No prenatal or postpartum care is covered. Most of the women enrolled in Emergency Medicaid are Latina.; We assessed postpartum visits and receipt of postpartum contraception and compared the outcomes for Emergency (restricted benefit) Medicaid recipients with those of Traditional (full-benefit) Medicaid recipients in Oregon and South Carolina, 2 states with similar-sized immigrant populations.; We conducted a retrospective cohort study using linked Medicaid claims and birth certificate data of live births covered by Medicaid (Traditional and Emergency) between January 1, 2010 and September 30, 2017, in Oregon and South Carolina. Our analysis was at the individual level. Primary outcomes were postpartum visit attendance and receipt of postpartum contraception within 2 months. We examined differences in demographic and delivery characteristics by Medicaid type. If women received postpartum contraception, we compared the timing of receipt (immediate postpartum, ≤1 month, 1-2 months, and 2-6 months after delivery) by the type of Medicaid. Among women using contraception, we described the type of contraceptive received at each time point, stratified by Medicaid type. Associations between Medicaid type (Traditional vs Emergency) and postpartum visit attendance and contraception use were assessed using adjusted absolute predicted probabilities from logistic regression models. We ran models for the entire cohort and conducted a subanalysis restricted to only Latina women.; Our study included 375,544 live births to 288,234 women, with 12.7% of births among Emergency Medicaid recipients. Women enrolled in Emergency Medicaid tended to be older (age >35 years; 18.1% vs 7.2%; P<.001) and were more likely to be multiparous (76.8% vs 60.8%; P<.001) and Latina (80.3% vs 9.5%; P<.001) than their Traditional Medicaid peers. Among women enrolled in Emergency Medicaid, the probability of having a postpartum visit was 6.1% (95% confidence interval, 5.9-6.4) compared with 58.8% (95% confidence interval, 58.6-58.9) for women covered by Traditional Medicaid. After 6 months following delivery, 97.6% of Emergency Medicaid recipients had no evidence of contraceptive use compared with 55.6% of Traditional Medicaid enrollees (P<.001). In our adjusted model, Emergency Medicaid recipients were also significantly less likely to receive postpartum contraception than Traditional Medicaid enrollees (1.9% vs 35.5%; 95% confidence interval, [1.8-2.1] vs [35.4-35.7]). We examined the role that race may play in postpartum contraceptive use by conducting a subanalysis restricted to Latina women only.Latinas with births covered by Emergency Medicaid had a 1.9% (95% confidence interval, 1.8-2.0) adjusted probability of postpartum contraception use within 2 months compared with 39.8% (95% confidence interval, 38.7-39.9) among Latinas enrolled in Traditional Medicaid.; Women enrolled in Emergency Medicaid experience large disparities in postpartum care and contraceptive use. Policies that restrict Medicaid coverage following delivery exacerbate inequities in postpartum care, potentially leading to worse health outcomes for low-income immigrants and their children.",AJOG global reports,2022,Journal Article,Maria I Rodriguez; K John McConnell; Megan Skye; Menolly Kaufman; Aaron B Caughey; Ana Lopez-Defede; Blair G Darney,10.1016/j.xagr.2021.100030,,https://pubmed.ncbi.nlm.nih.gov/36274968/,,,,,,doi:10 1016 j xagr 2021 100030,99
OpenAlex,,Disparities in postpartum contraceptive use among immigrant women with restricted Medicaid benefits,"The Emergency Medicaid program offers restricted Medicaid benefits for people who meet the same financial eligibility criteria as Traditional Medicaid recipients but do not meet the citizenship requirements for enrollment in Traditional Medicaid. By federal law, Emergency Medicaid covers care for life-threatening emergencies or a hospital admission for childbirth. No prenatal or postpartum care is covered. Most of the women enrolled in Emergency Medicaid are Latina. We assessed postpartum visits and receipt of postpartum contraception and compared the outcomes for Emergency (restricted benefit) Medicaid recipients with those of Traditional (full-benefit) Medicaid recipients in Oregon and South Carolina, 2 states with similar-sized immigrant populations. We conducted a retrospective cohort study using linked Medicaid claims and birth certificate data of live births covered by Medicaid (Traditional and Emergency) between January 1, 2010 and September 30, 2017, in Oregon and South Carolina. Our analysis was at the individual level. Primary outcomes were postpartum visit attendance and receipt of postpartum contraception within 2 months. We examined differences in demographic and delivery characteristics by Medicaid type. If women received postpartum contraception, we compared the timing of receipt (immediate postpartum, ≤1 month, 1–2 months, and 2–6 months after delivery) by the type of Medicaid. Among women using contraception, we described the type of contraceptive received at each time point, stratified by Medicaid type. Associations between Medicaid type (Traditional vs Emergency) and postpartum visit attendance and contraception use were assessed using adjusted absolute predicted probabilities from logistic regression models. We ran models for the entire cohort and conducted a subanalysis restricted to only Latina women. Our study included 375,544 live births to 288,234 women, with 12.7% of births among Emergency Medicaid recipients. Women enrolled in Emergency Medicaid tended to be older (age >35 years; 18.1% vs 7.2%; P<.001) and were more likely to be multiparous (76.8% vs 60.8%; P<.001) and Latina (80.3% vs 9.5%; P<.001) than their Traditional Medicaid peers. Among women enrolled in Emergency Medicaid, the probability of having a postpartum visit was 6.1% (95% confidence interval, 5.9–6.4) compared with 58.8% (95% confidence interval, 58.6–58.9) for women covered by Traditional Medicaid. After 6 months following delivery, 97.6% of Emergency Medicaid recipients had no evidence of contraceptive use compared with 55.6% of Traditional Medicaid enrollees (P<.001). In our adjusted model, Emergency Medicaid recipients were also significantly less likely to receive postpartum contraception than Traditional Medicaid enrollees (1.9% vs 35.5%; 95% confidence interval, [1.8–2.1] vs [35.4–35.7]). We examined the role that race may play in postpartum contraceptive use by conducting a subanalysis restricted to Latina women only. Latinas with births covered by Emergency Medicaid had a 1.9% (95% confidence interval, 1.8–2.0) adjusted probability of postpartum contraception use within 2 months compared with 39.8% (95% confidence interval, 38.7–39.9) among Latinas enrolled in Traditional Medicaid. Women enrolled in Emergency Medicaid experience large disparities in postpartum care and contraceptive use. Policies that restrict Medicaid coverage following delivery exacerbate inequities in postpartum care, potentially leading to worse health outcomes for low-income immigrants and their children.",AJOG Global Reports,2021,,María I. Rodríguez; K. John McConnell; Megan Skye; Menolly Kaufman; Aaron B. Caughey; Ana Lòpez‐De Fede; Blair G. Darney,https://doi.org/10.1016/j.xagr.2021.100030,,https://openalex.org/W3207996965,,https://openalex.org/W3207996965,Medicaid; Medicine; Attendance; Receipt; Family medicine; Population; Childbirth; Logistic regression; Demography; Pregnancy; Obstetrics; Health care; Environmental health; Economics; Computer science; Economic growth; Internal medicine; World Wide Web; Biology; Genetics; Sociology,article,15,doi:10 1016 j xagr 2021 100030,99
PubMed,36322086,Transitions in Health Insurance During the Perinatal Period Among Patients With Continuous Insurance Coverage.,"Although health insurance continuity is important during the perinatal period to improve birth outcomes and reduce maternal morbidity and mortality, insurance disruptions are common. However, little is known about insurance transitions among insurance types for individuals who remained insured during the perinatal period.; To examine insurance transitions for birthing individuals with continuous insurance, including those with Medicaid and Medicaid managed care coverage, before, during, and after pregnancy.; This cohort study used January 1, 2014 to December 31, 2018 data from the Massachusetts All-Payer Claims Database. The sample included deliveries from January 1, 2015, to December 31, 2017, to birthing individuals aged 18 to 44 years old with continuous insurance for 12 months before and after delivery. Data were analyzed from November 9, 2021, to September 2, 2022.; Insurance type at delivery.; The primary outcome was a binary indicator of any transition in insurance type from 12 months before and/or after delivery. The secondary outcomes were measures of any predelivery transition (12 months before delivery month) and any transition during the postpartum period (delivery month to 12 months post partum). Multivariate logit regression models were used to analyze the association of an insurance transition in the perinatal period with insurance type in the delivery month, controlling for age and socioeconomic status based on a 5-digit zip code.; The analytic sample included 97 335 deliveries (mean [SD] maternal age at delivery, 30.4 [5.5] years). Of these deliveries, 23.4% (22 794) were insured by Medicaid and 28.1% (27 347) by Medicaid managed care in the delivery month. A total of 37.1% of the sample (36 127) had at least 1 insurance transition during the 12 months before and/or after delivery. In regression-adjusted analyses, those individuals covered by Medicaid and Medicaid managed care at delivery were 47.0 (95% CI, 46.3-47.7) percentage points and 50.1 (95% CI, 49.4-50.8) percentage points, respectively, more likely to have an insurance transition than those covered by private insurance. Those covered by Marketplace plans at delivery had a 33.1% (95% CI, 31.4%-34.8%) regression-adjusted predicted probability of having a postpartum insurance transition.; Results of this study showed that insurance transitions during the perinatal period occurred for more than 1 in 3 birthing individuals with continuous insurance and were more common among those with Medicaid or Medicaid managed care at delivery. Further research is needed to examine the role of insurance transitions in health care use and outcomes during the perinatal period.",JAMA network open,2022,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",Chanup Jeung; Laura B Attanasio; Kimberley H Geissler,10.1001/jamanetworkopen.2022.39803,"Pregnancy; Female; United States; Humans; Adolescent; Young Adult; Adult; Child, Preschool; Cohort Studies; Insurance, Health; Insurance Coverage; Medicaid; Postpartum Period",https://pubmed.ncbi.nlm.nih.gov/36322086/,,,,,,doi:10 1001 jamanetworkopen 2022 39803,111
OpenAlex,,Transitions in Health Insurance During the Perinatal Period Among Patients With Continuous Insurance Coverage,"Importance: Although health insurance continuity is important during the perinatal period to improve birth outcomes and reduce maternal morbidity and mortality, insurance disruptions are common. However, little is known about insurance transitions among insurance types for individuals who remained insured during the perinatal period. Objective: To examine insurance transitions for birthing individuals with continuous insurance, including those with Medicaid and Medicaid managed care coverage, before, during, and after pregnancy. Design, Setting, and Participants: This cohort study used January 1, 2014 to December 31, 2018 data from the Massachusetts All-Payer Claims Database. The sample included deliveries from January 1, 2015, to December 31, 2017, to birthing individuals aged 18 to 44 years old with continuous insurance for 12 months before and after delivery. Data were analyzed from November 9, 2021, to September 2, 2022. Exposure: Insurance type at delivery. Main Outcomes and Measures: The primary outcome was a binary indicator of any transition in insurance type from 12 months before and/or after delivery. The secondary outcomes were measures of any predelivery transition (12 months before delivery month) and any transition during the postpartum period (delivery month to 12 months post partum). Multivariate logit regression models were used to analyze the association of an insurance transition in the perinatal period with insurance type in the delivery month, controlling for age and socioeconomic status based on a 5-digit zip code. Results: The analytic sample included 97 335 deliveries (mean [SD] maternal age at delivery, 30.4 [5.5] years). Of these deliveries, 23.4% (22 794) were insured by Medicaid and 28.1% (27 347) by Medicaid managed care in the delivery month. A total of 37.1% of the sample (36 127) had at least 1 insurance transition during the 12 months before and/or after delivery. In regression-adjusted analyses, those individuals covered by Medicaid and Medicaid managed care at delivery were 47.0 (95% CI, 46.3-47.7) percentage points and 50.1 (95% CI, 49.4-50.8) percentage points, respectively, more likely to have an insurance transition than those covered by private insurance. Those covered by Marketplace plans at delivery had a 33.1% (95% CI, 31.4%-34.8%) regression-adjusted predicted probability of having a postpartum insurance transition. Conclusions and Relevance: Results of this study showed that insurance transitions during the perinatal period occurred for more than 1 in 3 birthing individuals with continuous insurance and were more common among those with Medicaid or Medicaid managed care at delivery. Further research is needed to examine the role of insurance transitions in health care use and outcomes during the perinatal period.",JAMA Network Open,2022,,Chanup Jeung; Laura B. Attanasio; Kimberley H. Geissler,https://doi.org/10.1001/jamanetworkopen.2022.39803,,https://openalex.org/W4307925721,,https://openalex.org/W4307925721,Medicaid; Medicine; Logistic regression; Pregnancy; Demography; Socioeconomic status; Health care; Environmental health; Population; Internal medicine; Genetics; Biology; Sociology; Economic growth; Economics,article,15,doi:10 1001 jamanetworkopen 2022 39803,111
